statistic_label,month,property_type,unit,value
Residential Property Price Index,2005 December,Dublin - houses,Base 2015=100,129.9
Residential Property Price Index,2005 December,Dublin - apartments,Base 2015=100,160.1
Residential Property Price Index,2005 December,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2005 December,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2005 December,Fingal - houses,Base 2015=100,
Residential Property Price Index,2005 December,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2005 December,National excluding Dublin - all residential properties,Base 2015=100,158.2
Residential Property Price Index,2005 December,National excluding Dublin - houses,Base 2015=100,155.3
Residential Property Price Index,2005 December,National excluding Dublin - apartments,Base 2015=100,213.2
Residential Property Price Index,2005 December,Border - houses,Base 2015=100,
Residential Property Price Index,2005 December,Midland - houses,Base 2015=100,
Residential Property Price Index,2005 December,West - houses,Base 2015=100,
Residential Property Price Index,2005 December,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2005 December,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2005 December,South-East - houses,Base 2015=100,
Residential Property Price Index,2005 December,South-West - houses,Base 2015=100,
Residential Property Price Index,2006 January,National - all residential properties,Base 2015=100,141.4
Residential Property Price Index,2006 January,National - houses,Base 2015=100,137.3
Residential Property Price Index,2006 January,National - apartments,Base 2015=100,167.8
Residential Property Price Index,2006 January,Dublin - all residential properties,Base 2015=100,136.8
Residential Property Price Index,2006 January,Dublin - houses,Base 2015=100,130.9
Residential Property Price Index,2006 January,Dublin - apartments,Base 2015=100,159.9
Residential Property Price Index,2006 January,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2006 January,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2006 January,Fingal - houses,Base 2015=100,
Residential Property Price Index,2006 January,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2006 January,National excluding Dublin - all residential properties,Base 2015=100,159.0
Residential Property Price Index,2006 January,National excluding Dublin - houses,Base 2015=100,156.0
Residential Property Price Index,2006 January,National excluding Dublin - apartments,Base 2015=100,216.3
Residential Property Price Index,2006 January,Border - houses,Base 2015=100,
Residential Property Price Index,2006 January,Midland - houses,Base 2015=100,
Residential Property Price Index,2006 January,West - houses,Base 2015=100,
Residential Property Price Index,2006 January,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2006 January,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2006 January,South-East - houses,Base 2015=100,
Residential Property Price Index,2006 January,South-West - houses,Base 2015=100,
Residential Property Price Index,2006 February,National - all residential properties,Base 2015=100,141.7
Residential Property Price Index,2006 February,National - houses,Base 2015=100,137.7
Residential Property Price Index,2006 February,National - apartments,Base 2015=100,169.0
Residential Property Price Index,2006 February,Dublin - all residential properties,Base 2015=100,137.9
Residential Property Price Index,2006 February,Dublin - houses,Base 2015=100,132.3
Residential Property Price Index,2006 February,Dublin - apartments,Base 2015=100,160.7
Residential Property Price Index,2006 February,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2006 February,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2006 February,Fingal - houses,Base 2015=100,
Residential Property Price Index,2006 February,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2006 February,National excluding Dublin - all residential properties,Base 2015=100,158.9
Residential Property Price Index,2006 February,National excluding Dublin - houses,Base 2015=100,155.9
Residential Property Price Index,2006 February,National excluding Dublin - apartments,Base 2015=100,216.2
Residential Property Price Index,2006 February,Border - houses,Base 2015=100,
Residential Property Price Index,2006 February,Midland - houses,Base 2015=100,
Residential Property Price Index,2006 February,West - houses,Base 2015=100,
Residential Property Price Index,2006 February,Mid-East - houses,Base 2015=100,
Residential Property Price Index,2006 February,Mid-West - houses,Base 2015=100,
Residential Property Price Index,2006 February,South-East - houses,Base 2015=100,
Residential Property Price Index,2006 February,South-West - houses,Base 2015=100,
Residential Property Price Index,2006 March,National - all residential properties,Base 2015=100,142.5
Residential Property Price Index,2006 March,National - houses,Base 2015=100,138.5
Residential Property Price Index,2006 March,National - apartments,Base 2015=100,170.1
Residential Property Price Index,2006 March,Dublin - all residential properties,Base 2015=100,138.7
Residential Property Price Index,2006 March,Dublin - houses,Base 2015=100,133.1
Residential Property Price Index,2006 March,Dublin - apartments,Base 2015=100,161.4
Residential Property Price Index,2006 March,Dublin City - houses,Base 2015=100,
Residential Property Price Index,2006 March,Dun Laoghaire-Rathdown - houses,Base 2015=100,
Residential Property Price Index,2006 March,Fingal - houses,Base 2015=100,
Residential Property Price Index,2006 March,South Dublin - houses,Base 2015=100,
Residential Property Price Index,2006 March,National excluding Dublin - all residential properties,Base 2015=100,159.7
Residential Property Price Index,2006 March,National excluding Dublin - houses,Base 2015=100,156.8
Residential Property Price Index,2006 March,National excluding Dublin - apartments,Base 2015=100,216.0
